,City,Businesses,Latitude,Longitude
0,Belle Glade,1,26.6845104,-80.6675577
1,Boca Raton,89,26.3683064,-80.1289321
2,Boynton Beach,7,26.5317866,-80.0905465
3,Coconut Creek,1,26.2517482,-80.1789351
4,Coral Springs,14,26.271192,-80.2706044
5,Dania,1,26.052311,-80.1439343
6,Dania Beach,2,26.052311,-80.1439343
7,Davie,5,26.0764783,-80.2521157
8,Deerfield Beach,9,26.3184123,-80.0997657
9,Delray Beach,15,26.4614625,-80.0728201
10,Fort Lauderdale,98,26.1224386,-80.1373174
11,Greenacres,1,26.6276276,-80.1353896
12,Hallandale,1,25.9812024,-80.148379
13,Hallandale Beach,4,25.9812024,-80.148379
14,Hollywood,17,26.0112014,-80.1494901
15,Juno Beach,10,26.8797819,-80.0533743
16,Jupiter,13,26.9342246,-80.0942087
17,Lake Worth,6,26.6167555,-80.0684479
18,Lauderdale Lakes,4,26.1664736,-80.2083806
19,Lighthouse Point,2,26.275636,-80.0872654
20,Loxahatchee,3,26.771624,-80.238888
21,Margate,4,26.2445263,-80.206436
22,Miramar,12,25.9860762,-80.3035602
23,North Palm Beach,8,26.8171165,-80.0590804
24,Oakland Park,3,26.1723065,-80.1319893
25,Palm Beach,4,26.7056206,-80.0364297
26,Palm Beach Gardens,24,26.8396096,-80.1019144
27,Palm Springs,2,26.6359009,-80.0961538
28,Pembroke Pines,3,26.007765,-80.2962555
29,Plantation,13,26.1275862,-80.2331036
30,Pompano Beach,17,26.2378597,-80.1247667
31,Riviera Beach,3,26.7753405,-80.0580969
32,Royal Palm Beach,1,26.7083984,-80.2306019
33,Sunrise,27,26.1669711,-80.256595
34,Tamarac,3,26.2128609,-80.2497707
35,Wellington,2,26.6617635,-80.2683571
36,West Palm Beach,57,26.7153424,-80.0533746
37,Weston,9,26.1003654,-80.3997748
